"node i","node j","query","t0","t1","t2"
"ua0","oa0","SELECT * FROM ""oa0"" WHERE  data < 106 ORDER BY desc LIMIT 100","19206465232969","19206468391041","19206496960940"
"ua0","oa1","SELECT * FROM ""oa1"" WHERE  data < 263 ORDER BY desc LIMIT 100","19206497044188","19206497688197","19206499223208"
"ua0","oa2","SELECT * FROM ""oa2"" WHERE  data < 38 ORDER BY desc LIMIT 100","19206499330773","19206500505672","19206501810090"
"ua1","oa1","SELECT * FROM ""oa1"" WHERE  data < 316 ORDER BY desc LIMIT 100","19206501889323","19206502570257","19206503409532"
"ua1","oa2","SELECT * FROM ""oa2"" WHERE  data < 448 ORDER BY desc LIMIT 100","19206503468530","19206504376771","19206505282440"
"ua1","oa3","SELECT * FROM ""oa3"" WHERE  data < 363 ORDER BY desc LIMIT 100","19206505364649","19206506386956","19206507294150"
"ua2","oa2","SELECT * FROM ""oa2"" WHERE  data < 225 ORDER BY desc LIMIT 100","19206507389173","19206508401688","19206509360773"
"ua2","oa3","SELECT * FROM ""oa3"" WHERE  data < 205 ORDER BY desc LIMIT 100","19206509423237","19206510174023","19206511043252"
"ua2","oa4","SELECT * FROM ""oa4"" WHERE  data < 61 ORDER BY desc LIMIT 100","19206511115457","19206512167653","19206513169800"
"ua3","oa3","SELECT * FROM ""oa3"" WHERE  data < 406 ORDER BY desc LIMIT 100","19206513244451","19206514029187","19206514898020"
"ua3","oa4","SELECT * FROM ""oa4"" WHERE  data < 36 ORDER BY desc LIMIT 100","19206514953338","19206515900024","19206516876319"
"ua3","oa5","SELECT * FROM ""oa5"" WHERE  data < 483 ORDER BY desc LIMIT 100","19206516958912","19206518232512","19206519414893"
"ua4","oa4","SELECT * FROM ""oa4"" WHERE  data < 155 ORDER BY desc LIMIT 100","19206519486876","19206520310879","19206521202538"
"ua4","oa5","SELECT * FROM ""oa5"" WHERE  data < 114 ORDER BY desc LIMIT 100","19206521273840","19206522122045","19206522828811"
"ua4","oa6","SELECT * FROM ""oa6"" WHERE  data < 5 ORDER BY desc LIMIT 100","19206522874614","19206523527087","19206524441552"
"ua5","oa5","SELECT * FROM ""oa5"" WHERE  data < 352 ORDER BY desc LIMIT 100","19206524516607","19206525478560","19206526540682"
"ua5","oa6","SELECT * FROM ""oa6"" WHERE  data < 492 ORDER BY desc LIMIT 100","19206526592812","19206527195299","19206527986637"
"ua5","oa7","SELECT * FROM ""oa7"" WHERE  data < 84 ORDER BY desc LIMIT 100","19206528069548","19206528789553","19206529598767"
"ua6","oa6","SELECT * FROM ""oa6"" WHERE  data < 133 ORDER BY desc LIMIT 100","19206529669881","19206530342656","19206531183015"
"ua6","oa7","SELECT * FROM ""oa7"" WHERE  data < 341 ORDER BY desc LIMIT 100","19206531258300","19206532209017","19206533316282"
"ua6","oa8","SELECT * FROM ""oa8"" WHERE  data < 468 ORDER BY desc LIMIT 100","19206533398124","19206534432650","19206535457527"
"ua7","oa7","SELECT * FROM ""oa7"" WHERE  data < 122 ORDER BY desc LIMIT 100","19206535531251","19206536464165","19206537417934"
"ua7","oa8","SELECT * FROM ""oa8"" WHERE  data < 163 ORDER BY desc LIMIT 100","19206537489285","19206538209885","19206539051666"
"ua7","oa9","SELECT * FROM ""oa9"" WHERE  data < 287 ORDER BY desc LIMIT 100","19206539102565","19206539655122","19206540472503"
"ua8","oa8","SELECT * FROM ""oa8"" WHERE  data < 252 ORDER BY desc LIMIT 100","19206540542697","19206541436161","19206542504100"
"ua8","oa9","SELECT * FROM ""oa9"" WHERE  data < 355 ORDER BY desc LIMIT 100","19206542584929","19206543239588","19206544138213"
"ua8","oa10","SELECT * FROM ""oa10"" WHERE  data < 358 ORDER BY desc LIMIT 100","19206544218844","19206545127140","19206545905822"
"ua9","oa9","SELECT * FROM ""oa9"" WHERE  data < 203 ORDER BY desc LIMIT 100","19206545954473","19206546492417","19206547137346"
"ua9","oa10","SELECT * FROM ""oa10"" WHERE  data < 335 ORDER BY desc LIMIT 100","19206547195463","19206547767614","19206548689113"
"ua9","oa11","SELECT * FROM ""oa11"" WHERE  data < 319 ORDER BY desc LIMIT 100","19206548768795","19206549679395","19206550977453"
"ua10","oa10","SELECT * FROM ""oa10"" WHERE  data < 104 ORDER BY desc LIMIT 100","19206551047388","19206551655774","19206552509926"
"ua10","oa11","SELECT * FROM ""oa11"" WHERE  data < 355 ORDER BY desc LIMIT 100","19206552566396","19206553190334","19206554201325"
"ua10","oa12","SELECT * FROM ""oa12"" WHERE  data < 486 ORDER BY desc LIMIT 100","19206554279604","19206555174104","19206556138991"
"ua11","oa11","SELECT * FROM ""oa11"" WHERE  data < 232 ORDER BY desc LIMIT 100","19206556218341","19206557120897","19206558154851"
"ua11","oa12","SELECT * FROM ""oa12"" WHERE  data < 319 ORDER BY desc LIMIT 100","19206558225697","19206559083739","19206560047322"
"ua11","oa13","SELECT * FROM ""oa13"" WHERE  data < 229 ORDER BY desc LIMIT 100","19206560112698","19206560687042","19206561452689"
"ua12","oa12","SELECT * FROM ""oa12"" WHERE  data < 356 ORDER BY desc LIMIT 100","19206561518037","19206562394470","19206563350118"
"ua12","oa13","SELECT * FROM ""oa13"" WHERE  data < 197 ORDER BY desc LIMIT 100","19206563418729","19206564294433","19206565160184"
"ua12","oa14","SELECT * FROM ""oa14"" WHERE  data < 432 ORDER BY desc LIMIT 100","19206565230847","19206565890795","19206566771087"
"ua13","oa13","SELECT * FROM ""oa13"" WHERE  data < 165 ORDER BY desc LIMIT 100","19206566841643","19206567475719","19206568287679"
"ua13","oa14","SELECT * FROM ""oa14"" WHERE  data < 222 ORDER BY desc LIMIT 100","19206568349942","19206569236682","19206570216740"
"ua13","oa15","SELECT * FROM ""oa15"" WHERE  data < 271 ORDER BY desc LIMIT 100","19206570285274","19206571167289","19206572140641"
"ua14","oa14","SELECT * FROM ""oa14"" WHERE  data < 31 ORDER BY desc LIMIT 100","19206572213514","19206572944100","19206573853924"
"ua14","oa15","SELECT * FROM ""oa15"" WHERE  data < 256 ORDER BY desc LIMIT 100","19206573919061","19206574749913","19206575744163"
"ua14","oa16","SELECT * FROM ""oa16"" WHERE  data < 259 ORDER BY desc LIMIT 100","19206575806777","19206576422053","19206577121827"
"ua15","oa15","SELECT * FROM ""oa15"" WHERE  data < 249 ORDER BY desc LIMIT 100","19206577165528","19206577645189","19206578336670"
"ua15","oa16","SELECT * FROM ""oa16"" WHERE  data < 144 ORDER BY desc LIMIT 100","19206578390385","19206578863734","19206579573095"
"ua15","oa17","SELECT * FROM ""oa17"" WHERE  data < 351 ORDER BY desc LIMIT 100","19206579613513","19206580077680","19206580720839"
"ua16","oa16","SELECT * FROM ""oa16"" WHERE  data < 28 ORDER BY desc LIMIT 100","19206580780783","19206581332775","19206582002231"
"ua16","oa17","SELECT * FROM ""oa17"" WHERE  data < 265 ORDER BY desc LIMIT 100","19206582047472","19206582521254","19206583345182"
"ua16","oa18","SELECT * FROM ""oa18"" WHERE  data < 199 ORDER BY desc LIMIT 100","19206583413975","19206584249641","19206585106363"
"ua17","oa17","SELECT * FROM ""oa17"" WHERE  data < 322 ORDER BY desc LIMIT 100","19206585175214","19206585965364","19206586889983"
"ua17","oa18","SELECT * FROM ""oa18"" WHERE  data < 53 ORDER BY desc LIMIT 100","19206586943253","19206587756347","19206588518870"
"ua17","oa19","SELECT * FROM ""oa19"" WHERE  data < 148 ORDER BY desc LIMIT 100","19206588589800","19206589135246","19206589704557"
"ua18","oa18","SELECT * FROM ""oa18"" WHERE  data < 319 ORDER BY desc LIMIT 100","19206589746941","19206590237794","19206591038481"
"ua18","oa19","SELECT * FROM ""oa19"" WHERE  data < 175 ORDER BY desc LIMIT 100","19206591098456","19206591900740","19206592693431"
"ua18","oa20","SELECT * FROM ""oa20"" WHERE  data < 251 ORDER BY desc LIMIT 100","19206592741356","19206593231406","19206593765645"
"ua19","oa19","SELECT * FROM ""oa19"" WHERE  data < 427 ORDER BY desc LIMIT 100","19206593824559","19206594586493","19206595455403"
"ua19","oa20","SELECT * FROM ""oa20"" WHERE  data < 175 ORDER BY desc LIMIT 100","19206595530218","19206596381006","19206597246912"
"ua19","oa21","SELECT * FROM ""oa21"" WHERE  data < 481 ORDER BY desc LIMIT 100","19206597327927","19206597773184","19206598466373"
"ua20","oa20","SELECT * FROM ""oa20"" WHERE  data < 438 ORDER BY desc LIMIT 100","19206598518124","19206599324667","19206600231205"
"ua20","oa21","SELECT * FROM ""oa21"" WHERE  data < 103 ORDER BY desc LIMIT 100","19206600287416","19206600760448","19206601569792"
"ua20","oa22","SELECT * FROM ""oa22"" WHERE  data < 177 ORDER BY desc LIMIT 100","19206601623660","19206602423281","19206603243128"
