"node i","node j","query","t0","t1","t2"
"ua0","oa0","SELECT * FROM ""oa0"" WHERE  data < 128 ORDER BY desc LIMIT 100","568617175771","568617778257","568618080637"
"ua0","oa1","SELECT * FROM ""oa1"" WHERE  data < 68 ORDER BY desc LIMIT 100","568618084842","568618329681","568618504110"
"ua0","oa2","SELECT * FROM ""oa2"" WHERE  data < 385 ORDER BY desc LIMIT 100","568618507165","568618749180","568618857061"
"ua0","oa3","SELECT * FROM ""oa3"" WHERE  data < 275 ORDER BY desc LIMIT 100","568618859970","568619098817","568619203707"
"ua0","oa4","SELECT * FROM ""oa4"" WHERE  data < 62 ORDER BY desc LIMIT 100","568619206548","568619464250","568619569777"
"ua0","oa5","SELECT * FROM ""oa5"" WHERE  data < 1 ORDER BY desc LIMIT 100","568619572512","568619810754","568619913911"
"ua0","oa6","SELECT * FROM ""oa6"" WHERE  data < 336 ORDER BY desc LIMIT 100","568619916552","568620199492","568620304943"
"ua0","oa7","SELECT * FROM ""oa7"" WHERE  data < 317 ORDER BY desc LIMIT 100","568620307655","568620552828","568620662200"
"ua0","oa8","SELECT * FROM ""oa8"" WHERE  data < 243 ORDER BY desc LIMIT 100","568620665060","568620902915","568621006647"
"ua0","oa9","SELECT * FROM ""oa9"" WHERE  data < 392 ORDER BY desc LIMIT 100","568621009272","568621249176","568621352394"
"ua1","oa1","SELECT * FROM ""oa1"" WHERE  data < 368 ORDER BY desc LIMIT 100","568621355109","568621593281","568621696005"
"ua1","oa2","SELECT * FROM ""oa2"" WHERE  data < 253 ORDER BY desc LIMIT 100","568621698631","568621939277","568622057315"
"ua1","oa3","SELECT * FROM ""oa3"" WHERE  data < 4 ORDER BY desc LIMIT 100","568622060313","568622299877","568622402869"
"ua1","oa4","SELECT * FROM ""oa4"" WHERE  data < 233 ORDER BY desc LIMIT 100","568622405668","568622645201","568622749114"
"ua1","oa5","SELECT * FROM ""oa5"" WHERE  data < 381 ORDER BY desc LIMIT 100","568622751759","568622989043","568623101389"
"ua1","oa6","SELECT * FROM ""oa6"" WHERE  data < 78 ORDER BY desc LIMIT 100","568623104622","568623345514","568623450142"
"ua1","oa7","SELECT * FROM ""oa7"" WHERE  data < 255 ORDER BY desc LIMIT 100","568623452882","568623690148","568623793102"
"ua1","oa8","SELECT * FROM ""oa8"" WHERE  data < 64 ORDER BY desc LIMIT 100","568623795775","568624063392","568624183903"
"ua1","oa9","SELECT * FROM ""oa9"" WHERE  data < 68 ORDER BY desc LIMIT 100","568624186604","568624428020","568624531412"
"ua1","oa10","SELECT * FROM ""oa10"" WHERE  data < 323 ORDER BY desc LIMIT 100","568624534042","568624771009","568624875094"
"ua2","oa2","SELECT * FROM ""oa2"" WHERE  data < 454 ORDER BY desc LIMIT 100","568624878014","568625120147","568625223671"
"ua2","oa3","SELECT * FROM ""oa3"" WHERE  data < 396 ORDER BY desc LIMIT 100","568625226371","568625463983","568625565709"
